tripletid,file_X,onset_X,offset_X,phoneitem_id_X,phone1_X,phone3_X,talker_X,sex_X,dialect_X,phone_X,distance_OTH,dialect_OTH,file_OTH,offset_OTH,onset_OTH,phone1_OTH,phone3_OTH,phoneitem_id_OTH,sex_OTH,talker_OTH,phone_OTH,distance_TGT,dialect_TGT,file_TGT,offset_TGT,onset_TGT,phone1_TGT,phone3_TGT,phoneitem_id_TGT,sex_TGT,talker_TGT,phone_TGT
t00000051162,TRAIN/DR6/FPAD0/SX446,0.1843,0.3672,i157507,t,m,FPAD0,F,DR6,aa,6.38459192812242,DR2,TRAIN/DR2/MRJT0/SI1498,1.5931,1.3707,t,m,i94766,M,MRJT0,ah,5.07802081086911,DR2,TRAIN/DR2/MRJT0/SX328,1.239,0.8511,t,m,i94988,M,MRJT0,aa
t00000100328,TRAIN/DR2/MDEM0/SA1,3.0858,3.2625,i100768,w,dx,MDEM0,M,DR2,aa,5.41563073160749,DR3,TEST/DR3/FCMH0/SI2084,0.2675,0.135,w,dx,i11036,F,FCMH0,ah,5.82048938702877,DR3,TEST/DR3/FCMH0/SA1,2.8025,2.6141,w,dx,i11118,F,FCMH0,aa
t00000043753,TRAIN/DR4/MRAB1/SX308,2.4483,2.7,i62304,r,s,MRAB1,M,DR4,aa,3.60617837613914,DR7,TRAIN/DR7/MBTH0/SA1,1.7188,1.4712,r,s,i139787,M,MBTH0,iy,3.12730330630483,DR7,TRAIN/DR7/MBTH0/SX302,1.7169,1.4606,r,s,i139814,M,MBTH0,aa
t00000049930,TEST/DR2/FJWB0/SX95,0.2611,0.4875,i18576,w,n,FJWB0,F,DR2,aa,5.07162344792581,DR2,TRAIN/DR2/MKAH0/SX178,2.8632,2.6559,w,n,i104488,M,MKAH0,iy,4.03400387594426,DR2,TRAIN/DR2/MKAH0/SX88,2.63,2.4752,w,n,i104571,M,MKAH0,aa
t00000020635,TEST/DR3/MHPG0/SI1090,2.2325,2.4775,i14087,r,s,MHPG0,M,DR3,aa,6.61543341097165,DR2,TRAIN/DR2/FJKL0/SI932,3.6681,3.4244,r,s,i90932,F,FJKL0,iy,4.85031455041836,DR2,TRAIN/DR2/FJKL0/SX392,1.6846,1.4619,r,s,i90980,F,FJKL0,aa
t00000054803,TRAIN/DR4/FBAS0/SI2066,4.9025,5.3075,i63739,l,r,FBAS0,F,DR4,aa,5.45525869208318,DR7,TRAIN/DR7/MTLC0/SA2,1.7467,1.5274,l,r,i152138,M,MTLC0,iy,4.78163516552067,DR7,TRAIN/DR7/MTLC0/SI847,0.6225,0.3962,l,r,i152027,M,MTLC0,aa
t00000056359,TRAIN/DR3/MDNS0/SI1011,3.2087,3.4084,i68731,l,r,MDNS0,M,DR3,aa,5.01233747688183,DR3,TRAIN/DR3/MMEB0/SA2,1.5222,1.3473,l,r,i75895,M,MMEB0,iy,3.813177809174,DR3,TRAIN/DR3/MMEB0/SI1357,3.5945,3.3775,l,r,i75946,M,MMEB0,aa
t00000061634,TEST/DR4/FSEM0/SX118,1.5175,1.7625,i8202,l,r,FSEM0,F,DR4,aa,5.33783214763525,DR2,TEST/DR2/FCMR0/SA2,2.2898,2.0183,l,r,i20691,F,FCMR0,iy,4.11536526111537,DR2,TEST/DR2/FCMR0/SX205,2.0966,1.8198,l,r,i20646,F,FCMR0,aa
t00000016458,TRAIN/DR3/MPRD0/SA1,0.7258,0.9925,i69523,d,r,MPRD0,M,DR3,aa,7.19534934069369,DR3,TEST/DR3/MWJG0/SX224,1.3211,1.1462,d,r,i14480,M,MWJG0,uh,5.21897758525481,DR3,TEST/DR3/MWJG0/SA1,0.8825,0.6475,d,r,i14589,M,MWJG0,aa
t00000015559,TEST/DR2/MABW0/SA1,0.6118,0.8277,i22765,d,r,MABW0,M,DR2,aa,5.4320271927879,DR5,TRAIN/DR5/FSJG0/SI940,0.3759,0.1369,d,r,i113355,F,FSJG0,uh,3.97872562273597,DR5,TRAIN/DR5/FSJG0/SA1,1.4725,1.1093,d,r,i113558,F,FSJG0,aa
t00000015731,TRAIN/DR7/MJJM0/SA1,0.5125,0.69,i153735,d,r,MJJM0,M,DR7,aa,5.21938287416781,DR5,TRAIN/DR5/FSJG0/SI940,0.3759,0.1369,d,r,i113355,F,FSJG0,uh,4.46512584208588,DR5,TRAIN/DR5/FSJG0/SA1,1.4725,1.1093,d,r,i113558,F,FSJG0,aa
t00000100193,TRAIN/DR3/FLJD0/SA1,2.055,2.2575,i89668,w,dx,FLJD0,F,DR3,aa,5.15632027088387,DR2,TEST/DR2/MRCZ0/SI2171,0.8975,0.77,w,dx,i17269,M,MRCZ0,uh,4.63110900335161,DR2,TEST/DR2/MRCZ0/SA1,2.5675,2.355,w,dx,i17177,M,MRCZ0,aa
t00000015535,TRAIN/DR1/FSJK1/SA1,0.6527,0.9295,i172703,d,r,FSJK1,F,DR1,aa,7.39839604147073,DR5,TRAIN/DR5/FSJG0/SI940,0.3759,0.1369,d,r,i113355,F,FSJG0,uh,4.03389401477646,DR5,TRAIN/DR5/FSJG0/SA1,1.4725,1.1093,d,r,i113558,F,FSJG0,aa
t00000016526,TRAIN/DR7/MSAH1/SA1,0.6175,0.7792,i146311,d,r,MSAH1,M,DR7,aa,5.19991714613091,DR3,TEST/DR3/MWJG0/SX224,1.3211,1.1462,d,r,i14480,M,MWJG0,uh,3.06358759352548,DR3,TEST/DR3/MWJG0/SA1,0.8825,0.6475,d,r,i14589,M,MWJG0,aa
t00000017958,TRAIN/DR2/FMMH0/SA1,0.8459,1.0704,i93036,d,r,FMMH0,F,DR2,aa,4.70151447775157,DR2,TRAIN/DR2/MRFK0/SI2336,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,4.11241308221757,DR2,TRAIN/DR2/MRFK0/SA1,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000017994,TRAIN/DR2/FSKL0/SA1,0.5509,0.7519,i97517,d,r,FSKL0,F,DR2,aa,8.12864727082258,DR2,TRAIN/DR2/MRFK0/SI2336,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,6.71956557578913,DR2,TRAIN/DR2/MRFK0/SA1,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000018167,TRAIN/DR4/MJDC0/SA1,0.6606,0.9008,i59215,d,r,MJDC0,M,DR4,aa,5.11590319808279,DR2,TRAIN/DR2/MRFK0/SI2336,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,4.46600119455842,DR2,TRAIN/DR2/MRFK0/SA1,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000017936,TRAIN/DR5/FLJA0/SA1,1.2755,1.5324,i123397,d,r,FLJA0,F,DR5,aa,5.50530853140256,DR2,TRAIN/DR2/MRFK0/SI2336,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,3.91330795641292,DR2,TRAIN/DR2/MRFK0/SA1,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000018118,TRAIN/DR2/MEFG0/SA1,0.6971,0.9321,i92714,d,r,MEFG0,M,DR2,aa,5.22248091170586,DR2,TRAIN/DR2/MRFK0/SI2336,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,4.8840426773253,DR2,TRAIN/DR2/MRFK0/SA1,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000018285,TEST/DR7/MNLS0/SA1,0.6275,0.8475,i37946,d,r,MNLS0,M,DR7,aa,5.82967646964383,DR2,TRAIN/DR2/MRFK0/SI2336,1.4517,1.0075,d,r,i110840,M,MRFK0,uw,4.43470715406227,DR2,TRAIN/DR2/MRFK0/SA1,0.8041,0.5525,d,r,i110901,M,MRFK0,aa
t00000086662,TRAIN/DR8/FNKL0/SA2,1.4987,1.859,i177272,r,g,FNKL0,F,DR8,ae,5.28970329774822,DR3,TRAIN/DR3/FGCS0/SX136,1.2238,1.0074,r,g,i78954,F,FGCS0,aa,3.39470130823308,DR3,TRAIN/DR3/FGCS0/SA2,2.8356,2.5143,r,g,i79096,F,FGCS0,ae
t00000102551,TRAIN/DR6/FRJB0/SA2,0.78,1.0626,i164360,k,r,FRJB0,F,DR6,ae,5.56705078211516,DR6,TRAIN/DR6/FKLC1/SX328,1.8929,1.6866,k,r,i166180,F,FKLC1,aa,4.33876160372415,DR6,TRAIN/DR6/FKLC1/SA2,1.0939,0.7925,k,r,i166085,F,FKLC1,ae
t00000102457,TRAIN/DR1/FSMA0/SA2,0.8575,1.1694,i174735,k,r,FSMA0,F,DR1,ae,4.45769515918929,DR6,TRAIN/DR6/FHXS0/SI1075,3.105,2.6834,k,r,i161023,F,FHXS0,aa,4.43449597185903,DR6,TRAIN/DR6/FHXS0/SA2,1.1932,0.8175,k,r,i161180,F,FHXS0,ae
t00000095506,TEST/DR4/MKCL0/SA2,1.6318,1.9875,i3345,r,g,MKCL0,M,DR4,ae,4.21011112680012,DR4,TRAIN/DR4/MSFH0/SX136,1.3025,1.0679,r,g,i64411,M,MSFH0,aa,3.0536624234326,DR4,TRAIN/DR4/MSFH0/SA2,2.7325,2.3159,r,g,i64557,M,MSFH0,ae
t00000091237,TRAIN/DR4/FPAF0/SA2,1.6073,1.9256,i65663,r,g,FPAF0,F,DR4,ae,5.44408087427087,DR2,TRAIN/DR2/MMAG0/SX136,1.2325,1.0075,r,g,i109578,M,MMAG0,aa,3.82097200934361,DR2,TRAIN/DR2/MMAG0/SA2,1.9895,1.5822,r,g,i109725,M,MMAG0,ae
t00000105479,TRAIN/DR6/MTJU0/SI760,0.4475,0.721,i156382,k,n,MTJU0,M,DR6,ae,4.46745586946154,DR7,TRAIN/DR7/MTML0/SX435,1.8589,1.5925,k,n,i145924,M,MTML0,aa,6.11284173038527,DR7,TRAIN/DR7/MTML0/SX75,0.8334,0.6206,k,n,i146038,M,MTML0,ae
t00000089910,TRAIN/DR2/MHRM0/SA2,1.4313,1.6894,i94235,r,g,MHRM0,M,DR2,ae,5.06440642789742,DR8,TEST/DR8/MSLB0/SX383,2.4337,2.1625,r,g,i47688,M,MSLB0,ah,4.1627570405591,DR8,TEST/DR8/MSLB0/SA2,1.9475,1.5561,r,g,i47796,M,MSLB0,ae
t00000092931,TRAIN/DR5/MMAB1/SA2,1.6475,2.0651,i119384,r,g,MMAB1,M,DR5,ae,4.31169441056396,DR1,TEST/DR1/MWBT0/SX383,3.5475,3.1302,r,g,i43317,M,MWBT0,ah,3.81409205230222,DR1,TEST/DR1/MWBT0/SA2,2.1152,1.6919,r,g,i43355,M,MWBT0,ae
t00000082910,TEST/DR2/FCMR0/SA2,2.1619,2.5613,i20693,r,g,FCMR0,F,DR2,ae,4.51672436341797,DR8,TRAIN/DR8/FCEG0/SX78,1.1904,1.0213,r,g,i178846,F,FCEG0,ah,4.15903329923425,DR8,TRAIN/DR8/FCEG0/SA2,1.7803,1.5012,r,g,i178923,F,FCEG0,ae
t00000082998,TRAIN/DR8/FMBG0/SA2,1.6553,1.9425,i179231,r,g,FMBG0,F,DR8,ae,4.32265465311732,DR8,TRAIN/DR8/FCEG0/SX78,1.1904,1.0213,r,g,i178846,F,FCEG0,ah,3.57875380300226,DR8,TRAIN/DR8/FCEG0/SA2,1.7803,1.5012,r,g,i178923,F,FCEG0,ae
t00000086372,TRAIN/DR2/MKDT0/SA2,1.5378,1.8788,i91672,r,g,MKDT0,M,DR2,ae,4.15197522495422,DR2,TRAIN/DR2/MJDE0/SI463,1.8,1.4025,r,g,i94406,M,MJDE0,ah,4.31072905899415,DR2,TRAIN/DR2/MJDE0/SA2,2.6775,2.1825,r,g,i94539,M,MJDE0,ae
t00000085583,TRAIN/DR3/FDFB0/SA2,1.4203,1.7486,i80514,r,g,FDFB0,F,DR3,ae,4.26646002846348,DR3,TRAIN/DR3/MKLS1/SI915,4.2038,3.8324,r,g,i90796,M,MKLS1,ah,3.74701155262342,DR3,TRAIN/DR3/MKLS1/SA2,2.0469,1.6841,r,g,i90614,M,MKLS1,ae
t00000106709,TRAIN/DR5/FLMK0/SA2,2.5712,2.9075,i118785,dh,q,FLMK0,F,DR5,ae,6.60221059541463,DR7,TEST/DR7/FGWR0/SX228,1.8794,1.7363,dh,q,i33474,F,FGWR0,iy,3.68295243190948,DR7,TEST/DR7/FGWR0/SI2208,2.2481,2.0138,dh,q,i33291,F,FGWR0,ae
t00000051357,TRAIN/DR4/MJPM1/SA2,0.4225,0.7219,i56303,nx,s,MJPM1,M,DR4,ae,4.56281152495801,DR5,TRAIN/DR5/MBGT0/SI1841,3.2769,3.0417,nx,s,i131533,M,MBGT0,iy,2.71908568257959,DR5,TRAIN/DR5/MBGT0/SA2,0.6869,0.3725,nx,s,i131652,M,MBGT0,ae
t00000093723,TRAIN/DR3/FSKC0/SA2,1.8058,2.1256,i85857,r,g,FSKC0,F,DR3,ae,3.61168514769431,DR5,TRAIN/DR5/MTAT0/SI811,1.1122,0.8975,r,g,i116152,M,MTAT0,iy,3.19554397506461,DR5,TRAIN/DR5/MTAT0/SA2,1.765,1.4308,r,g,i116140,M,MTAT0,ae
t00000011609,TRAIN/DR2/MRJH0/SA2,2.0174,2.4288,i100371,dh,tcl,MRJH0,M,DR2,ae,5.29552363071161,DR4,TRAIN/DR4/MJDC0/SI1161,0.4308,0.2475,dh,tcl,i59100,M,MJDC0,iy,3.56054963048451,DR4,TRAIN/DR4/MJDC0/SA2,2.1514,1.7963,dh,tcl,i59207,M,MJDC0,ae
t00000076985,TRAIN/DR5/MGES0/SA2,0.2321,0.4593,i116410,n,s,MGES0,M,DR5,ae,5.19701043535362,DR4,TEST/DR4/MTEB0/SX413,0.7662,0.445,n,s,i4038,M,MTEB0,iy,3.66827300594018,DR4,TEST/DR4/MTEB0/SA2,0.5544,0.295,n,s,i3932,M,MTEB0,ae
t00000011342,TRAIN/DR7/FREH0/SX325,1.3354,1.5411,i142821,dh,tcl,FREH0,F,DR7,ae,5.55495718310411,DR4,TRAIN/DR4/MJDC0/SI1161,0.4308,0.2475,dh,tcl,i59100,M,MJDC0,iy,4.44885848432965,DR4,TRAIN/DR4/MJDC0/SA2,2.1514,1.7963,dh,tcl,i59207,M,MJDC0,ae
t00000074840,TEST/DR2/FJRE0/SA1,0.2976,0.5041,i24198,hv,dcl,FJRE0,F,DR2,ae,5.01759253770184,DR5,TRAIN/DR5/MWSH0/SI2266,0.9243,0.7232,hv,dcl,i126664,M,MWSH0,uh,4.52447163263251,DR5,TRAIN/DR5/MWSH0/SA1,0.5681,0.3472,hv,dcl,i126711,M,MWSH0,ae
t00000076117,TRAIN/DR6/FLAG0/SX294,1.0809,1.4138,i158168,r,f,FLAG0,F,DR6,ae,4.98736246256208,DR2,TRAIN/DR2/MCTM0/SI1980,4.0415,3.6629,r,f,i112277,M,MCTM0,uh,4.67339958052682,DR2,TRAIN/DR2/MCTM0/SX450,3.0725,2.7356,r,f,i112217,M,MCTM0,ae
t00000075016,TEST/DR5/MDRB0/SI2109,1.6371,1.9375,i24593,hv,dcl,MDRB0,M,DR5,ae,3.98426227137206,DR5,TRAIN/DR5/MWSH0/SI2266,0.9243,0.7232,hv,dcl,i126664,M,MWSH0,uh,3.43626761236652,DR5,TRAIN/DR5/MWSH0/SI2266,1.36,0.9243,hv,dcl,i126667,M,MWSH0,ae
t00000074991,TEST/DR2/MDBB0/SA1,0.42,0.6866,i22448,hv,dcl,MDBB0,M,DR2,ae,4.35022388514019,DR5,TRAIN/DR5/MWSH0/SI2266,0.9243,0.7232,hv,dcl,i126664,M,MWSH0,uh,4.47104910676157,DR5,TRAIN/DR5/MWSH0/SA1,0.5681,0.3472,hv,dcl,i126711,M,MWSH0,ae
t00000075034,TEST/DR5/MFGK0/SA1,0.4075,0.6579,i29041,hv,dcl,MFGK0,M,DR5,ae,3.65923148031777,DR5,TRAIN/DR5/MWSH0/SI2266,0.9243,0.7232,hv,dcl,i126664,M,MWSH0,uh,4.66771456027945,DR5,TRAIN/DR5/MWSH0/SA1,0.5681,0.3472,hv,dcl,i126711,M,MWSH0,ae
t00000074962,TRAIN/DR7/MBOM0/SA1,0.3358,0.57,i148558,hv,dcl,MBOM0,M,DR7,ae,3.70504473080378,DR5,TRAIN/DR5/MWSH0/SI2266,0.9243,0.7232,hv,dcl,i126664,M,MWSH0,uh,4.13870399076378,DR5,TRAIN/DR5/MWSH0/SA1,0.5681,0.3472,hv,dcl,i126711,M,MWSH0,ae
t00000089319,TRAIN/DR7/MBML0/SA2,1.6025,1.9347,i152943,r,g,MBML0,M,DR7,ae,5.25430491904064,DR1,TRAIN/DR1/FKFB0/SX438,4.3806,4.0895,r,g,i167505,F,FKFB0,uw,4.8547428051207,DR1,TRAIN/DR1/FKFB0/SA2,2.3363,1.9282,r,g,i167472,F,FKFB0,ae
t00000104098,TEST/DR5/MBPM0/SI1584,2.1713,2.4101,i30835,t,s,MBPM0,M,DR5,ae,7.06459886228201,DR3,TEST/DR3/MLNT0/SI642,1.3028,0.8041,t,s,i16400,M,MLNT0,uw,5.62117447384796,DR3,TEST/DR3/MLNT0/SX102,1.0052,0.5925,t,s,i16357,M,MLNT0,ae
t00000089322,TRAIN/DR7/MBTH0/SA2,1.6325,1.9641,i139749,r,g,MBTH0,M,DR7,ae,3.93143408698744,DR1,TRAIN/DR1/FKFB0/SX438,4.3806,4.0895,r,g,i167505,F,FKFB0,uw,3.59718710736054,DR1,TRAIN/DR1/FKFB0/SA2,2.3363,1.9282,r,g,i167472,F,FKFB0,ae
t00000089334,TRAIN/DR1/MCPM0/SA2,1.4201,1.7519,i176392,r,g,MCPM0,M,DR1,ae,4.77665806536757,DR1,TRAIN/DR1/FKFB0/SX438,4.3806,4.0895,r,g,i167505,F,FKFB0,uw,4.39710285580272,DR1,TRAIN/DR1/FKFB0/SA2,2.3363,1.9282,r,g,i167472,F,FKFB0,ae
t00000089383,TRAIN/DR3/MDWM0/SA2,1.7180000000000002,2.0987,i75220,r,g,MDWM0,M,DR3,ae,5.9213291537754,DR1,TRAIN/DR1/FKFB0/SX438,4.3806,4.0895,r,g,i167505,F,FKFB0,uw,5.05071222157309,DR1,TRAIN/DR1/FKFB0/SA2,2.3363,1.9282,r,g,i167472,F,FKFB0,ae
t00000089519,TRAIN/DR2/MRAB0/SA2,1.4178,1.7415,i106936,r,g,MRAB0,M,DR2,ae,5.36522656753598,DR1,TRAIN/DR1/FKFB0/SX438,4.3806,4.0895,r,g,i167505,F,FKFB0,uw,4.66159380291499,DR1,TRAIN/DR1/FKFB0/SA2,2.3363,1.9282,r,g,i167472,F,FKFB0,ae
t00000099273,TEST/DR4/MKCL0/SI1721,0.145,0.3075,i3438,k,m,MKCL0,M,DR4,ah,5.73197639883342,DR6,TRAIN/DR6/FRJB0/SI1470,0.6806,0.4308,k,m,i164186,F,FRJB0,aa,6.49774441664459,DR6,TRAIN/DR6/FRJB0/SX167,2.2437,2.0174,k,m,i164323,F,FRJB0,ah
t00000097686,TRAIN/DR4/MSTF0/SX136,1.3625,1.6119,i60574,k,m,MSTF0,M,DR4,ah,3.78104179503989,DR6,TEST/DR6/MRJS0/SX94,1.1151,0.8775,k,m,i39801,M,MRJS0,aa,4.10476600446244,DR6,TEST/DR6/MRJS0/SI2074,0.4475,0.2525,k,m,i39868,M,MRJS0,ah
t00000103680,TRAIN/DR7/MTPR0/SX340,1.7981,1.9622,i152361,k,l,MTPR0,M,DR7,ah,4.62045016425469,DR5,TRAIN/DR5/MSEM1/SX180,1.201,0.9325,k,l,i115412,M,MSEM1,aa,5.35729618108631,DR5,TRAIN/DR5/MSEM1/SX90,1.8025,1.6051,k,l,i115399,M,MSEM1,ah
t00000098246,TEST/DR8/MDAW1/SI1453,2.2325,2.4675,i47527,k,m,MDAW1,M,DR8,ah,4.65061398479781,DR8,TEST/DR8/MJTH0/SX36,1.0704,0.8275,k,m,i47946,M,MJTH0,aa,5.25310546481641,DR8,TEST/DR8/MJTH0/SX306,1.4969,1.2725,k,m,i48103,M,MJTH0,ah
t00000096875,TEST/DR8/MJTH0/SX306,1.2725,1.4969,i48103,k,m,MJTH0,M,DR8,ah,3.91854558946505,DR4,TRAIN/DR4/MMDM0/SX51,2.0625,1.8275,k,m,i48847,M,MMDM0,aa,5.10472613718196,DR4,TRAIN/DR4/MMDM0/SX141,2.5125,2.2125,k,m,i48890,M,MMDM0,ah
t00000074657,TRAIN/DR4/MSMC0/SI509,1.8525,1.9475,i68611,b,dx,MSMC0,M,DR4,ah,4.60120861661442,DR1,TRAIN/DR1/MWAR0/SI1675,0.5136,0.2,b,dx,i169695,M,MWAR0,aa,3.8995007461015,DR1,TRAIN/DR1/MWAR0/SI1045,3.4722,3.36,b,dx,i169965,M,MWAR0,ah
t00000001209,TEST/DR8/MSLB0/SX113,0.1514,0.389,i47832,m,s,MSLB0,M,DR8,ah,5.29798745502435,DR3,TRAIN/DR3/FALK0/SX96,0.3968,0.1225,m,s,i74025,F,FALK0,ae,5.01723191137999,DR3,TRAIN/DR3/FALK0/SI1086,1.9325,1.6825,m,s,i74192,F,FALK0,ah
t00000094110,TEST/DR1/MWBT0/SX383,3.1302,3.5475,i43317,r,g,MWBT0,M,DR1,ah,4.15092390779387,DR1,TRAIN/DR1/FKFB0/SA2,2.3363,1.9282,r,g,i167472,F,FKFB0,ae,4.34804143443414,DR1,TRAIN/DR1/FKFB0/SX78,1.48,1.2644,r,g,i167354,F,FKFB0,ah
t00000014382,TEST/DR4/MLLL0/SI1363,1.7775,2.1044,i2724,s,m,MLLL0,M,DR4,ah,4.35060792977037,DR7,TRAIN/DR7/MRMH0/SI2281,0.4336,0.1567,s,m,i138162,M,MRMH0,ae,4.40059498673222,DR7,TRAIN/DR7/MRMH0/SI1349,0.9725,0.7415,s,m,i138195,M,MRMH0,ah
t00000094164,TRAIN/DR3/MRTC0/SI828,0.1906,0.3756,i71188,r,g,MRTC0,M,DR3,ah,6.70823780048145,DR3,TEST/DR3/MCTW0/SA2,1.8281,1.4621,r,g,i10594,M,MCTW0,ae,6.71653864425921,DR3,TEST/DR3/MCTW0/SX383,2.9625,2.5763,r,g,i10551,M,MCTW0,ah
t00000013853,TRAIN/DR8/MEJS0/SI1240,1.4856,1.7232,i178446,m,n,MEJS0,M,DR8,ah,5.53579261247748,DR6,TEST/DR6/FLNH0/SI941,2.7575,2.4425,m,n,i40147,F,FLNH0,ae,7.08379925121695,DR6,TEST/DR6/FLNH0/SX134,2.0757,1.8825,m,n,i40058,F,FLNH0,ah
t00000087088,TRAIN/DR3/MRTC0/SI828,0.1906,0.3756,i71188,r,g,MRTC0,M,DR3,ah,5.35031354504433,DR8,TRAIN/DR8/FCEG0/SA2,1.7803,1.5012,r,g,i178923,F,FCEG0,ae,4.39908048039737,DR8,TRAIN/DR8/FCEG0/SX78,1.1904,1.0213,r,g,i178846,F,FCEG0,ah
t00000050383,TEST/DR3/MJMP0/SI1791,2.1827,2.44,i9706,w,n,MJMP0,M,DR3,ah,4.76854026176924,DR5,TRAIN/DR5/MEWM0/SX178,2.4623,2.2454,w,n,i124179,M,MEWM0,iy,4.24087390278525,DR5,TRAIN/DR5/MEWM0/SX88,2.4554,2.3479,w,n,i124294,M,MEWM0,ah
t00000022515,TRAIN/DR3/MMJB1/SX58,1.6494,1.8302,i81342,r,s,MMJB1,M,DR3,ah,5.2208328088475104,DR2,TRAIN/DR2/MRJT0/SI868,3.48,3.2585,r,s,i94741,M,MRJT0,iy,4.147526316843,DR2,TRAIN/DR2/MRJT0/SX58,1.9921,1.8016,r,s,i94835,M,MRJT0,ah
t00000015274,TRAIN/DR6/MBMA1/SI2214,1.6473,1.8144,i163871,r,k,MBMA1,M,DR6,ah,5.28616122298902,DR1,TRAIN/DR1/MRSO0/SX219,2.7268,2.5381,r,k,i176567,M,MRSO0,iy,5.2478403472437,DR1,TRAIN/DR1/MRSO0/SX129,0.8056,0.483,r,k,i176764,M,MRSO0,ah
